ticker,units,price,value
BEAT,1048073,1.9090909090909092,0.0020008666363636363
GFGF,160001,12.5,0.0020000125
YUMY,78428,25.5,0.001999914
CSDIX,92924,21.5,0.001997866
VONOY,48076,41.5,0.001995154
ABIO,1267382,1.5714285714285714,0.0019916002857142856
TRREX,99462,20.0,0.00198924
SONVF,25326,78.42857142857143,0.001986282
PBBK,173737,11.4,0.0019806018
JJA,89961,22.0,0.001979142
AFLG,72478,27.285714285714285,0.001977614
VYNT,2313592,0.8518518518518519,0.0019708376296296297
TRYP,432068,4.545454545454546,0.001963945454545455
QTOC,75418,26.0,0.001960868
FSMO,89034,22.0,0.001958748
BOAT,67502,29.0,0.001957558
CTEX,65206,30.0,0.00195618
ESGN,98154,19.857142857142858,0.001949058
IDEXY,76757,25.285714285714285,0.0019408555714285714
PFUIX,215582,9.0,0.001940238
VWILX,13980,138.66666666666666,0.0019385599999999998
HYDR,102766,18.857142857142858,0.001937873142857143
FLTMX,193596,10.0,0.00193596
MDCP,71612,27.0,0.001933524
WDFN,64372,30.0,0.00193116
XTOC,77616,24.833333333333332,0.001927464
SNOA,177563,10.833333333333334,0.0019235991666666668
WGIFX,30496,63.0,0.001921248
LNKB,160000,12.0,0.00192
SNAXX,3830699,0.5,0.0019153495
LIZI,1590993,1.2,0.0019091916
RODE,94110,20.25,0.0019057275
FEQIX,27274,69.66666666666667,0.0019000886666666668
HHH,90324,21.0,0.001896804
TWCF,70247,27.0,0.001896669
BKUI,38659,49.0,0.001894291
MBII,45298890,0.041666666666666664,0.00188745375
FLGE,2330,809.0,0.00188497
BITW,42950,43.857142857142854,0.0018836642857142857
AEGFX,29424,64.0,0.001883136
RYB,2419058,0.7777777777777778,0.0018814895555555554
MSGR,81729,23.0,0.001879767
IDW,2013583,0.9333333333333333,0.0018793441333333333
CWGIX,30460,61.6,0.001876336
MFV,308554,6.066666666666666,0.0018718942666666666
BLHK,143791,13.0,0.001869283
SCKT,552615,3.375,0.001865075625
IWFH,86727,21.5,0.0018646305
AWSHX,31075,60.0,0.0018645
NGE,224154,8.3,0.0018604782000000001
VGHAX,19506,95.25,0.0018579465
ALPIB,57999,32.0,0.001855968
AQWA,125732,14.75,0.001854547
RIGZ,68961,26.833333333333332,0.0018504535
BOSC,862068,2.142857142857143,0.0018472885714285714
AAME,1105900,1.6666666666666667,0.0018431666666666668
SYTA,884454,2.076923076923077,0.0018369429230769233
BXRX,12849323,0.14285714285714285,0.0018356175714285715
XTAP,73413,25.0,0.001835325
TIRRX,91269,20.0,0.00182538
FMGIX,95979,19.0,0.001823601
SCMWY,32551,56.0,0.001822856
HLT1,11725,155.0,0.001817375
STHRX,14944,121.5,0.001815696
MTCH2,11136,163.0,0.001815168
SEP,3625001,0.5,0.0018125005
MPNGY,31358,57.666666666666664,0.0018083113333333333
VWELX,37612,48.0,0.001805376
BLCT,1804244,1.0,0.001804244
EIHIX,450902,4.0,0.001803608
RAYD,72143,25.0,0.001803575
AIH,599654,3.0,0.001798962
LGGNY,80762,22.25,0.0017969545
BSFIX,44027,40.666666666666664,0.0017904313333333333
FLQG,43183,41.42857142857143,0.00178901
FDHT,84567,21.142857142857142,0.001787988
SVVC,611513,2.923076923076923,0.0017874995384615383
AMRFX,33719,53.0,0.001787107
USEQ,37748,47.285714285714285,0.0017849411428571427
CIPMX,167,10688.0,0.001784896
FFTWX,118975,15.0,0.001784625
UFAB,1899301,0.9375,0.0017805946875
SSNT,687590,2.588235294117647,0.001779644705882353
NABZY,171108,10.4,0.0017795232
CYFL,68434,26.0,0.001779284
MOTE,62401,28.5,0.0017784285
SMDD,49235,36.0,0.00177246
WISA,1771900,1.0,0.0017719
NEMTF,13950,127.0,0.00177165
EKAR,50974,34.666666666666664,0.0017670986666666665
ALZN,1714408,1.0303030303030303,0.0017663597575757577
DFCSX,51774,34.0,0.001760316
FGPR,38124,46.166666666666664,0.001760058
UBOT,48135,36.5,0.0017569275
GEGTX,27301,64.33333333333333,0.0017563643333333332
TRPL,41800,42.0,0.0017556
NTRB,254556,6.875,0.0017500725
HERD,49887,35.0,0.001746045
EGPT,65858,26.5,0.001745237
MUX,118622906,0.014705882352941176,0.0017444545
SOXQ,56889,30.571428571428573,0.001739178
CZFS,28981,60.0,0.00173886
FUT,64399,27.0,0.001738773
GZPZY,18671,93.0,0.001736403
DTEA,692788,2.5,0.00173197
CPAC,302728,5.714285714285714,0.0017298742857142857
CNAF,101727,17.0,0.001729359
MTVR,74054,23.333333333333332,0.0017279266666666666
KAOOY,214939,8.0,0.001719512
XBOC,74732,23.0,0.001718836
MTHRF,68555,25.0,0.001713875
TRTY,63626,26.88888888888889,0.0017108324444444446
TEGYX,43788,39.0,0.001707732
CHCI,585920,2.909090909090909,0.0017044945454545454
MYY,100668,16.88888888888889,0.0017001706666666667
PPBN,72193,23.5,0.0016965355
CHNA,64998,26.0,0.001689948
CNND,6373,265.0,0.001688845
VITAX,7194,234.0,0.001683396
GURE,522283,3.2222222222222223,0.001682911888888889
PBCO,93389,18.0,0.001681002
UNCY,1115461,1.5,0.0016731915
FMCRX,87992,19.0,0.001671848
PSMG,100798,16.571428571428573,0.0016703668571428573
XDAT,61787,27.0,0.001668249
MCHN,69411,24.0,0.001665864
FDWGX,138186,12.0,0.001658232
VUIAX,21242,78.0,0.001656876
